epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.3247,0.47541,13.7601,0.00674,0.75024,0.76571,0.80541,0.78053,0.28741,3.69166,0.00482,0.00016008,0.00016008,0.00016008
2,20.9833,0.48161,4.76101,0.00679,0.95389,0.91429,0.98234,0.93779,0.34596,0.5663,0.00581,0.000323594,0.000323594,0.000323594
3,27.8334,0.54776,2.03351,0.00722,0.97628,0.9407,0.9887,0.92669,0.43289,0.30825,0.00878,0.000483807,0.000483807,0.000483807
4,34.8897,0.52207,1.15821,0.0074,0.96796,0.86312,0.97487,0.93007,0.38589,0.34314,0.00687,0.000640718,0.000640718,0.000640718
5,41.5882,0.55363,0.85496,0.00751,0.72078,0.92571,0.87586,0.85181,0.30952,0.68686,0.00534,0.000640587,0.000640587,0.000640587
6,48.0382,0.53593,0.60782,0.0072,0.99815,0.95429,0.98649,0.95,0.34091,0.17962,0.00573,0.000633983,0.000633983,0.000633983
7,54.5451,0.51195,0.5214,0.00724,1,0.96862,0.99433,0.96669,0.31028,0.16347,0.00553,0.00062738,0.00062738,0.00062738
8,61.3161,0.49267,0.4345,0.00695,0.94899,1,0.98924,0.96373,0.26935,0.16074,0.00417,0.000620777,0.000620777,0.000620777
9,68.0236,0.47298,0.40953,0.00664,1,0.98718,0.995,0.9436,0.3183,0.12675,0.00704,0.000614174,0.000614174,0.000614174
10,74.702,0.49809,0.41197,0.00695,0.99287,0.98857,0.99489,0.95757,0.34564,0.14002,0.00602,0.00060757,0.00060757,0.00060757
11,81.2569,0.50628,0.36519,0.00717,0.98833,0.99429,0.99483,0.96846,0.26986,0.11374,0.00429,0.000600967,0.000600967,0.000600967
12,87.717,0.47149,0.33385,0.00647,0.99282,0.98857,0.99472,0.97821,0.27076,0.10984,0.00517,0.000594364,0.000594364,0.000594364
13,94.1477,0.45354,0.31368,0.00646,0.95137,1,0.99287,0.96463,0.30867,0.1339,0.00591,0.00058776,0.00058776,0.00058776
14,100.589,0.43232,0.28739,0.00599,0.98862,0.99281,0.99477,0.96765,0.26525,0.1081,0.00424,0.000581157,0.000581157,0.000581157
15,107.057,0.44945,0.27353,0.00577,0.98031,1,0.9946,0.97807,0.25158,0.10911,0.00415,0.000574554,0.000574554,0.000574554
16,113.516,0.43269,0.26458,0.00615,0.9868,0.98857,0.99455,0.97912,0.25516,0.10573,0.00448,0.00056795,0.00056795,0.00056795
