epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.4766,0.57428,2.87754,0.00984,0.90397,0.945,0.97357,0.90877,0.41829,0.87902,0.01073,0.00048,0.00048,0.00048
2,22.2108,0.67961,0.68583,0.01158,0.74726,0.55,0.66924,0.47333,1.10327,1.55988,0.0301,0.000970298,0.000970298,0.000970298
3,28.7821,0.77002,0.48991,0.01298,0.83905,0.54739,0.60721,0.48658,1.12382,1.66658,0.02788,0.0014507,0.0014507,0.0014507
4,35.3334,0.72867,0.45953,0.01219,0.95868,0.57,0.69125,0.56122,0.82978,1.61923,0.02194,0.00192119,0.00192119,0.00192119
5,41.8714,0.74011,0.38111,0.01283,0.67756,0.58,0.61735,0.49005,0.8165,1.66843,0.01942,0.0019208,0.0019208,0.0019208
6,48.481,0.73138,0.34982,0.01193,0.67321,0.085,0.08936,0.06464,2.14208,4.37826,0.05874,0.001901,0.001901,0.001901
7,55.0813,0.68035,0.32443,0.01157,0.99491,0.97749,0.99253,0.83634,0.672,0.28338,0.01999,0.0018812,0.0018812,0.0018812
8,61.725,0.64363,0.3163,0.011,0.9898,0.97052,0.98681,0.88239,0.50754,0.19787,0.01222,0.0018614,0.0018614,0.0018614
9,68.3837,0.67305,0.31101,0.01108,0.9546,0.99,0.99182,0.90094,0.48373,0.19275,0.01183,0.0018416,0.0018416,0.0018416
10,75.0304,0.65443,0.29625,0.01115,0.98408,0.98,0.99406,0.90968,0.40671,0.15338,0.00925,0.0018218,0.0018218,0.0018218
11,81.7287,0.59909,0.26752,0.01021,0.81975,0.92,0.91821,0.82411,0.52596,0.60363,0.01226,0.001802,0.001802,0.001802
12,88.4221,0.58107,0.25655,0.00949,0.99188,0.98,0.99465,0.94439,0.39683,0.14939,0.00915,0.0017822,0.0017822,0.0017822
13,95.1439,0.61629,0.25068,0.01047,0.98484,0.995,0.99475,0.90685,0.4781,0.14792,0.0125,0.0017624,0.0017624,0.0017624
14,101.724,0.58699,0.24246,0.01006,0.96589,0.99118,0.99225,0.89693,0.48849,0.18158,0.01212,0.0017426,0.0017426,0.0017426
15,108.266,0.57913,0.25051,0.00951,0.98778,0.99,0.99475,0.91606,0.46855,0.15599,0.01272,0.0017228,0.0017228,0.0017228
16,114.832,0.59439,0.23826,0.01011,0.99453,1,0.995,0.93885,0.39126,0.11508,0.0112,0.001703,0.001703,0.001703
17,121.441,0.57317,0.24511,0.00924,0.98506,0.98898,0.99351,0.95363,0.33746,0.12847,0.00814,0.0016832,0.0016832,0.0016832
18,128.114,0.53544,0.23915,0.00859,0.98491,0.97895,0.99356,0.93532,0.42034,0.16408,0.0117,0.0016634,0.0016634,0.0016634
19,134.757,0.52981,0.22628,0.00914,0.98513,0.99391,0.99465,0.95814,0.32045,0.12432,0.00762,0.0016436,0.0016436,0.0016436
20,141.485,0.53542,0.23632,0.0087,0.98393,0.99,0.9945,0.98007,0.24979,0.11883,0.00541,0.0016238,0.0016238,0.0016238
21,148.165,0.51814,0.23803,0.00844,0.99914,0.98,0.99432,0.93172,0.35005,0.13573,0.00718,0.001604,0.001604,0.001604
22,154.816,0.53884,0.24191,0.00897,0.99497,0.98826,0.99466,0.97433,0.27847,0.11619,0.00627,0.0015842,0.0015842,0.0015842
23,161.377,0.54478,0.23776,0.00885,0.9949,0.97482,0.99385,0.94795,0.32443,0.18368,0.00751,0.0015644,0.0015644,0.0015644
24,167.949,0.53899,0.23752,0.00874,0.98506,0.98927,0.99446,0.95358,0.31657,0.13257,0.00672,0.0015446,0.0015446,0.0015446
25,174.542,0.50115,0.22131,0.00834,0.98633,0.995,0.99475,0.95674,0.32099,0.1231,0.00677,0.0015248,0.0015248,0.0015248
26,181.188,0.47398,0.2133,0.0079,1,0.99939,0.995,0.94653,0.3672,0.12023,0.00916,0.001505,0.001505,0.001505
27,187.744,0.52455,0.22703,0.00873,0.99501,0.99788,0.99495,0.95313,0.327,0.11613,0.00755,0.0014852,0.0014852,0.0014852
28,194.335,0.50174,0.20813,0.00822,0.98516,0.995,0.99475,0.95336,0.32714,0.13246,0.00685,0.0014654,0.0014654,0.0014654
29,200.899,0.50836,0.22137,0.00859,0.99306,0.995,0.99495,0.96783,0.31645,0.10392,0.00788,0.0014456,0.0014456,0.0014456
30,207.471,0.47336,0.19949,0.00747,0.9899,0.97985,0.99451,0.97753,0.27113,0.10694,0.00601,0.0014258,0.0014258,0.0014258
31,214.061,0.4631,0.19749,0.00761,1,0.99911,0.995,0.98253,0.24808,0.09755,0.00524,0.001406,0.001406,0.001406
32,220.79,0.48303,0.19092,0.00808,0.99393,0.995,0.9949,0.96175,0.29068,0.12513,0.0069,0.0013862,0.0013862,0.0013862
33,227.462,0.45103,0.18713,0.00746,0.9994,0.995,0.995,0.94054,0.34965,0.12841,0.00934,0.0013664,0.0013664,0.0013664
34,234.102,0.44351,0.18595,0.00733,0.99008,0.99828,0.99485,0.96495,0.31657,0.10732,0.00666,0.0013466,0.0013466,0.0013466
35,240.658,0.45899,0.19861,0.00749,0.9932,0.995,0.9949,0.97206,0.24172,0.13679,0.00532,0.0013268,0.0013268,0.0013268
36,247.261,0.45383,0.19657,0.00768,0.99418,0.995,0.99495,0.96842,0.29053,0.10827,0.00687,0.001307,0.001307,0.001307
37,253.939,0.44591,0.18778,0.00732,0.99499,0.99397,0.99495,0.98387,0.20989,0.08516,0.00467,0.0012872,0.0012872,0.0012872
38,260.583,0.39752,0.18054,0.00643,0.95643,0.98783,0.98695,0.96011,0.33323,0.16151,0.00818,0.0012674,0.0012674,0.0012674
39,267.174,0.42011,0.17347,0.00722,0.98899,0.995,0.99485,0.98446,0.24467,0.10211,0.00514,0.0012476,0.0012476,0.0012476
40,273.908,0.39363,0.17888,0.00625,0.99982,0.995,0.995,0.98958,0.20104,0.09078,0.00433,0.0012278,0.0012278,0.0012278
41,280.648,0.39469,0.16993,0.00647,0.98927,1,0.99495,0.98742,0.18873,0.0716,0.00421,0.001208,0.001208,0.001208
42,287.225,0.39485,0.18146,0.00644,1,0.97723,0.99441,0.96951,0.27306,0.12338,0.00616,0.0011882,0.0011882,0.0011882
43,293.845,0.40437,0.18607,0.00663,0.99974,1,0.995,0.98243,0.21551,0.07686,0.0054,0.0011684,0.0011684,0.0011684
44,300.425,0.39076,0.17249,0.00673,0.99955,1,0.995,0.99345,0.18752,0.06939,0.00411,0.0011486,0.0011486,0.0011486
