epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.2501,0.44433,8.50842,0.00599,0.46117,0.48932,0.48426,0.47255,0.31628,1.59666,0.00549,0.000220555,0.000220555,0.000220555
2,72.4163,0.48831,1.98871,0.00628,0.76771,0.78661,0.81976,0.79442,0.30943,0.72116,0.0053,0.000434119,0.000434119,0.000434119
3,103.356,0.5065,1.32386,0.00664,0.70475,0.80888,0.84177,0.77439,0.44465,0.66553,0.00801,0.000638879,0.000638879,0.000638879
4,133.656,0.50926,1.12244,0.00657,0.81996,0.82138,0.8705,0.83522,0.3193,0.56372,0.00535,0.00062738,0.00062738,0.00062738
5,164.137,0.49182,1.00067,0.00653,0.83233,0.8094,0.87882,0.85069,0.31097,0.5635,0.00543,0.000614174,0.000614174,0.000614174
6,194.595,0.46712,0.94676,0.00609,0.87876,0.83065,0.91605,0.89471,0.27065,0.44211,0.00469,0.000600967,0.000600967,0.000600967
7,225.294,0.44427,0.92413,0.00574,0.87126,0.82634,0.91753,0.90318,0.2582,0.50994,0.00457,0.00058776,0.00058776,0.00058776
8,255.582,0.42859,0.84953,0.00542,0.91346,0.85738,0.93838,0.91517,0.26212,0.37658,0.00472,0.000574554,0.000574554,0.000574554
9,285.986,0.41766,0.79479,0.00519,0.94128,0.88779,0.96546,0.95217,0.24935,0.2906,0.00446,0.000561347,0.000561347,0.000561347
10,316.43,0.40423,0.75414,0.00514,0.94284,0.88453,0.96327,0.95148,0.24207,0.30273,0.00389,0.000548141,0.000548141,0.000548141
11,346.736,0.39429,0.75412,0.00503,0.89886,0.86703,0.95198,0.93492,0.24381,0.35062,0.00448,0.000534934,0.000534934,0.000534934
12,377.022,0.3857,0.73064,0.00473,0.95193,0.89246,0.97339,0.96336,0.23789,0.25261,0.00405,0.000521727,0.000521727,0.000521727
13,407.223,0.36545,0.69619,0.00454,0.95674,0.91631,0.97819,0.96498,0.21849,0.23229,0.00365,0.000508521,0.000508521,0.000508521
14,437.548,0.35652,0.66698,0.00451,0.92777,0.91578,0.97519,0.96479,0.21778,0.26373,0.00329,0.000495314,0.000495314,0.000495314
15,467.689,0.3556,0.67386,0.00449,0.94713,0.90035,0.97254,0.96338,0.19177,0.25191,0.00284,0.000482108,0.000482108,0.000482108
16,497.928,0.35021,0.69074,0.00425,0.93291,0.89066,0.97006,0.96197,0.21253,0.29278,0.00371,0.000468901,0.000468901,0.000468901
17,528.158,0.35049,0.66,0.0043,0.95086,0.92185,0.97804,0.9687,0.21348,0.22044,0.00345,0.000455694,0.000455694,0.000455694
18,558.431,0.33618,0.62623,0.00413,0.94888,0.91893,0.97997,0.97389,0.17696,0.20885,0.00254,0.000442488,0.000442488,0.000442488
19,588.682,0.32374,0.62227,0.00402,0.9519,0.93958,0.98434,0.98151,0.16903,0.18463,0.00266,0.000429281,0.000429281,0.000429281
20,618.906,0.3183,0.61333,0.00391,0.94693,0.93577,0.98447,0.97633,0.18799,0.18961,0.00296,0.000416075,0.000416075,0.000416075
21,647.904,0.31602,0.6157,0.0038,0.95903,0.9445,0.98669,0.98033,0.1913,0.17451,0.00312,0.000402868,0.000402868,0.000402868
22,676.06,0.29745,0.58565,0.00369,0.96528,0.92462,0.98515,0.98135,0.16978,0.18762,0.00267,0.000389661,0.000389661,0.000389661
23,704.202,0.29552,0.58362,0.00361,0.97543,0.95062,0.98451,0.97948,0.16474,0.21638,0.00251,0.000376455,0.000376455,0.000376455
24,732.46,0.29006,0.57249,0.00353,0.94964,0.95616,0.989,0.98521,0.16235,0.16068,0.00255,0.000363248,0.000363248,0.000363248
25,760.651,0.28646,0.55694,0.00346,0.96556,0.94832,0.9892,0.98704,0.15195,0.14844,0.0023,0.000350042,0.000350042,0.000350042
26,789.012,0.28338,0.55742,0.00345,0.986,0.92858,0.98884,0.98505,0.15281,0.1464,0.00216,0.000336835,0.000336835,0.000336835
27,817.184,0.27166,0.54837,0.00322,0.97084,0.95994,0.99118,0.98795,0.14329,0.12738,0.00213,0.000323628,0.000323628,0.000323628
28,845.525,0.27235,0.57207,0.00316,0.97591,0.95069,0.98959,0.98764,0.13295,0.13322,0.00201,0.000310422,0.000310422,0.000310422
29,873.711,0.26287,0.53118,0.00318,0.95844,0.96695,0.99046,0.98833,0.14042,0.12681,0.00204,0.000297215,0.000297215,0.000297215
