epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,184.463,0.32991,0.99103,0.81332,0.66394,0.78511,0.73365,0.7189,0.26826,0.88369,0.77661,0.000396265,0.000396265,0.000396265
43,188.62,0.34184,0.9996,0.82088,0.72311,0.78798,0.82942,0.8107,0.26599,0.67563,0.77611,0.000389661,0.000389661,0.000389661
44,192.858,0.34229,0.99762,0.82182,0.78049,0.83105,0.84795,0.82697,0.262,0.61594,0.7764,0.000383058,0.000383058,0.000383058
45,196.807,0.33135,0.93927,0.81369,0.76991,0.87027,0.8563,0.83905,0.24852,0.63005,0.77322,0.000376455,0.000376455,0.000376455
46,200.754,0.33677,0.92384,0.81947,0.7092,0.81394,0.80576,0.78661,0.27509,0.75341,0.77806,0.000369851,0.000369851,0.000369851
47,204.882,0.32723,0.93542,0.81067,0.76773,0.79371,0.82359,0.80711,0.24881,0.6637,0.77407,0.000363248,0.000363248,0.000363248
48,209.099,0.33176,0.92178,0.81954,0.76664,0.77452,0.83656,0.81648,0.27911,0.67571,0.77886,0.000356645,0.000356645,0.000356645
49,213.153,0.32303,0.89285,0.82192,0.76985,0.78868,0.85077,0.83454,0.26357,0.65956,0.77625,0.000350042,0.000350042,0.000350042
50,217.282,0.34346,0.93246,0.82238,0.76448,0.83021,0.86037,0.84408,0.25257,0.68709,0.77571,0.000343438,0.000343438,0.000343438
51,221.484,0.32514,0.89494,0.81389,0.80127,0.84245,0.88192,0.85584,0.2669,0.53344,0.77771,0.000336835,0.000336835,0.000336835
52,225.697,0.31344,0.85284,0.80692,0.76913,0.8243,0.8531,0.83303,0.24909,0.7003,0.77593,0.000330232,0.000330232,0.000330232
53,229.81,0.31246,0.88671,0.80859,0.80147,0.8114,0.88289,0.86488,0.24341,0.59416,0.77367,0.000323628,0.000323628,0.000323628
54,233.86,0.31859,0.87473,0.81255,0.82099,0.83637,0.89656,0.88134,0.24529,0.54845,0.77333,0.000317025,0.000317025,0.000317025
55,237.684,0.31236,0.84455,0.80857,0.81458,0.80188,0.88229,0.86555,0.2463,0.52776,0.7736,0.000310422,0.000310422,0.000310422
56,241.528,0.31957,0.83292,0.8133,0.83095,0.86053,0.89978,0.88012,0.24968,0.54162,0.77548,0.000303818,0.000303818,0.000303818
57,246.033,0.30601,0.8187,0.81076,0.8071,0.83593,0.90183,0.88417,0.2596,0.54399,0.77566,0.000297215,0.000297215,0.000297215
58,250.331,0.31974,0.84252,0.81965,0.86872,0.81397,0.91198,0.89191,0.24979,0.5326,0.77553,0.000290612,0.000290612,0.000290612
59,254.448,0.30209,0.77862,0.80655,0.80452,0.83718,0.89657,0.88008,0.22612,0.60089,0.77372,0.000284009,0.000284009,0.000284009
60,258.382,0.30826,0.78972,0.80551,0.77916,0.8289,0.88418,0.86343,0.24022,0.60716,0.77213,0.000277405,0.000277405,0.000277405
61,262.184,0.30921,0.7832,0.81108,0.84013,0.77107,0.86941,0.8528,0.25558,0.58875,0.77409,0.000270802,0.000270802,0.000270802
62,266.115,0.31448,0.79796,0.80951,0.85046,0.80581,0.89924,0.88499,0.24233,0.50846,0.77568,0.000264199,0.000264199,0.000264199
63,269.942,0.30137,0.75917,0.80281,0.86954,0.79425,0.905,0.88459,0.25273,0.53417,0.77424,0.000257595,0.000257595,0.000257595
64,274.101,0.30192,0.78796,0.81487,0.86699,0.82599,0.92218,0.90756,0.24972,0.48568,0.77382,0.000250992,0.000250992,0.000250992
65,278.055,0.32008,0.79546,0.81683,0.8355,0.83107,0.91137,0.89844,0.23293,0.56379,0.77388,0.000244389,0.000244389,0.000244389
66,282.022,0.30354,0.74713,0.80991,0.86836,0.83575,0.91289,0.89846,0.23594,0.52535,0.77404,0.000237785,0.000237785,0.000237785
67,286.117,0.28552,0.73047,0.80391,0.82397,0.88898,0.9139,0.8961,0.23557,0.53262,0.77309,0.000231182,0.000231182,0.000231182
